x,numerical,exact,absolute_error
0.18,-0.12383322677813398,-0.12533323356430467,0.0015000067861706962
0.185,-0.09297586706425745,-0.09410831331851492,0.0011324462542574715
0.19,-0.062026751394700944,-0.06279051952931326,0.0007637681346123193
0.195,-0.031016422810098317,-0.031410759078128354,0.00039433626803003774
0.2,2.4515239159774577e-05,0.0,2.4515239159774577e-05
0.20500000000000002,0.03106542909483658,0.03141075907812832,0.0003453299832917381
0.21,0.06207568512257149,0.06279051952931325,0.0007148344067417559
0.215,0.09302467994357871,0.09410831331851423,0.0010836333749355137
0.22,0.12388187063648733,0.12533323356430418,0.0014513629278168488
0.225,0.15461680487951723,0.15643446504023084,0.0018176601607136078
0.23,0.1851991510032441,0.1873813145857246,0.0021821635824804952
0.23500000000000001,0.21559872792429527,0.21814324139654256,0.002544513472247295
0.24,0.245785534930435,0.24868988716485463,0.0029043522344196215
0.245,0.27572978128764564,0.27899110603922916,0.0032613247515835275
0.25,0.30540191563998526,0.30901699437494734,0.003615078734962085
0.255,0.33477265517320837,0.3387379202452913,0.003965265072082946
0.26,0.363813014513368,0.3681245526846779,0.004311538171309914
0.265,0.3924943343318804,0.3971478906347806,0.004653556302900208
0.27,0.4207883096288225,0.4257792915650727,0.004990981936250194
0.275,0.4486670176665493,0.4539904997395468,0.0053234820729974874
0.28,0.47610294552606475,0.4817536741017153,0.0056507285756505765
0.28500000000000003,0.5030690172589511,0.5090414157503713,0.005972398491420172
0.29,0.5295386206080613,0.5358267949789964,0.006288174370935096
0.295,0.5554856332706039,0.5620833778521305,0.006597744581526621
0.3,0.5808844486777015,0.587785252292473,0.006900803614771522
0.305,0.6057100012649838,0.6129070536529764,0.00719705238799262
0.31,0.6299377912092721,0.6374239897486896,0.007486198539417566
0.315,0.6535439086069481,0.6613118653236518,0.007767956716703717
0.32,0.6765050570701413,0.6845471059286886,0.008042048858547313
0.325,0.6987985767174517,0.7071067811865475,0.008308204469095748
0.33,0.7204024665365166,0.7289686274214116,0.008566160884894924
0.335,0.7412954060963537,0.7501110696304596,0.0088156635341059
0.34,0.7614567765880527,0.7705132427757893,0.00905646618773659
0.34500000000000003,0.7808666811730499,0.7901550123756904,0.009288331202640498
0.35000000000000003,0.7995059646189062,0.8090169943749475,0.009511029756041234
0.355,0.8173562322032085,0.8270805742745617,0.009724342071353198
0.36,0.8343998678669403,0.844327925502015,0.00992805763507465
0.365,0.8506200515994042,0.8607420270039435,0.010121975404539296
