x,numerical,exact,absolute_error
0.495,0.7070238288304541,0.7070195471777516,4.281652702498029e-06
0.5,0.707111063367531,0.7071067811865476,4.28218098347255e-06
0.505,0.7070238288304532,0.7070195471777516,4.2816527016098505e-06
0.51,0.7067621467430356,0.7067578666750501,4.280067985473757e-06
0.515,0.7063260816714185,0.7063218042441916,4.277427226972996e-06
0.52,0.7057157412081327,0.7057114674770557,4.273731077031329e-06
0.525,0.7049312759455557,0.7049270069651074,4.268980448363102e-06
0.53,0.7039728794387519,0.7039686162622395,4.26317651236463e-06
0.535,0.7028407881577188,0.7028365318370176,4.256320701223615e-06
0.54,0.7015352814290405,0.7015310330143334,4.24841470714199e-06
0.545,0.7000566813669675,0.7000524419064873,4.239460480226498e-06
0.55,0.6984053527939393,0.6984011233337103,4.229460229043802e-06
0.555,0.6965817031505731,0.696577484734151,4.2184164220637754e-06
0.56,0.6945861823951305,0.6945819760633463,4.206331784217809e-06
0.5650000000000001,0.6924192828924985,0.692415089683201,4.193209297564948e-06
0.5700000000000001,0.690081539292704,0.6900773602405059,4.179052198072242e-06
0.5750000000000001,0.6875735283990009,0.6875693645350206,4.163863980277682e-06
0.58,0.6848958690255506,0.6848917213771576,4.147648392960335e-06
0.585,0.6820492218447336,0.6820450914352995,4.130409434144333e-06
0.59,0.6790342892241479,0.6790301770727895,4.1121513584263525e-06
0.595,0.6758518150533047,0.6758477221746335,4.092878671202449e-06
0.6,0.6725025845600852,0.6724985119639574,4.072596127779882e-06
0.605,0.6689874241169973,0.6689833728082655,4.0513087318228e-06
0.61,0.6653072010372818,0.6653031720155461,4.029021735685312e-06
0.615,0.6614628233609158,0.6614588176202771,4.005740638635125e-06
0.62,0.6574552396305665,0.6574512581593809,3.9814711856323015e-06
0.625,0.6532854386575527,0.6532814824381883,3.956219364442681e-06
0.63,0.6489544492778696,0.6489505192864649,3.9299914047497e-06
0.635,0.644463340098341,0.6444594373045623,3.902793778709501e-06
0.64,0.6398132192329546,0.6398093445997585,3.87463319617698e-06
0.645,0.6350052340294534,0.6350013885128474,3.845516606038046e-06
0.65,0.6300405707862438,0.6300367553350505,3.815451193212027e-06
0.655,0.6249204544596911,0.6249166700153171,3.784444373988727e-06
0.66,0.6196461483618861,0.6196423958580861,3.752503800025231e-06
0.665,0.6142189538489378,0.6142152342115855,3.7196373522396797e-06
0.67,0.6086402099998823,0.608636524146743,3.6858531393679783e-06
0.675,0.6029112932862881,0.602907642126791,3.651159497075618e-06
0.68,0.5970336172326317,0.597030001667645,3.6155649867364303e-06
0.685,0.5910086320675279,0.5910050529891391,3.5790783887712507e-06
0.6900000000000001,0.584837824365914,0.5848342826572067,3.5417087073108533e-06
0.6950000000000001,0.5785227166822544,0.5785192132170918,3.5034651626464353e-06
